Transporteur Nom,PA ID,UIC8,UIC7,PR ID,ZDE ID,ZDE Libelle,ZDE Type,ZDE Mode,__ZDEp_ID,ZDEp Nom,ZDEp Mode,__ZDEr_ID,ZDEr Nom,ZDEr Mode,__ZDLr_ID,ZDLr Nom,__LDA_ID,ZDE_ASSOCIEE
RATP,603,,,,1648,Place d'Italie,N.D.,METRO,50027007,Place d'Italie,METRO,22365,Place d'Italie,metro,44371,Place d'Italie,71033,N.D.
RATP,603,,,,1793,Place d'Italie,N.D.,METRO,50025967,Place d'Italie,METRO,463025,Place d'Italie,metro,44371,Place d'Italie,71033,N.D.
RATP,603,,,,1794,Place d'Italie,N.D.,METRO,50025819,Place d'Italie,METRO,463003,Place d'Italie,metro,44371,Place d'Italie,71033,N.D.
RATP,603,,,,2403,Place d'Italie,N.D.,METRO,50025814,Place d'Italie,METRO,22006,Place d'Italie,metro,44371,Place d'Italie,71033,N.D.
RATP,603,,,,2404,Place d'Italie,N.D.,METRO,50025820,Place d'Italie,METRO,22168,Place d'Italie,metro,44371,Place d'Italie,71033,N.D.
RATP,603,,,,2528,Place d'Italie,N.D.,METRO,50026842,Place d'Italie,METRO,463026,Place d'Italie,metro,44371,Place d'Italie,71033,N.D.
RATP,604,,,,1166834,Châtelet,N.D.,METRO,50026541,Châtelet,METRO,21959,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,1166835,Châtelet,N.D.,METRO,50026540,Châtelet,METRO,463159,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,1964,Châtelet,N.D.,METRO,50026817,Châtelet,METRO,22092,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,1965,Châtelet,N.D.,METRO,50025920,Châtelet,METRO,21966,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,1966,Châtelet,N.D.,METRO,50026501,Châtelet,METRO,463060,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,2036,Châtelet,N.D.,METRO,50026174,Châtelet,METRO,463160,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,2155,Châtelet,N.D.,METRO,50026016,Châtelet,METRO,22087,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,2219,Châtelet,N.D.,METRO,50026977,Châtelet,METRO,463158,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,2220,Châtelet,N.D.,METRO,50026066,Châtelet,METRO,463079,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,604,,,,2221,Châtelet,N.D.,METRO,50025983,Châtelet,METRO,22364,Châtelet,metro,42587,Châtelet,71264,N.D.
RATP,614,,,,1750,Porte de Versailles,N.D.,METRO,50026772,Porte de Versailles,METRO,22042,Porte de Versailles,metro,49515,Porte de Versailles,71045,N.D.
RATP,614,,,,2428,Porte de Versailles,N.D.,METRO,50026771,Porte de Versailles,METRO,463261,Porte de Versailles,metro,49515,Porte de Versailles,71045,N.D.
RATP,614,,,,32603,PORTE DE VERSAILLES - PARC DES EXPOSITIONS,N.D.,TRAM-TRAIN,50144913,PORTE DE VERSAILLES - PARC DES EXPOSITIONS,TRAM,24114,Porte de Versailles - Parc des Expositions,tram,473705,Porte de Versailles - Parc des Expositions,71045,N.D.
RATP,614,,,,32630,PORTE DE VERSAILLES - PARC DES EXPOSITIONS,N.D.,TRAM-TRAIN,50144940,PORTE DE VERSAILLES - PARC DES EXPOSITIONS,TRAM,24111,Porte de Versailles - Parc des Expositions,tram,473705,Porte de Versailles - Parc des Expositions,71045,N.D.
RATP,614,,,,49281,PORTE DE VERSAILLES (PARC DES EXPOSITIONS),N.D.,TRAM-TRAIN,50145457,PORTE DE VERSAILLES (PARC DES EXPOSITIONS),TRAM,25631,Porte de Versailles,tram,473705,Porte de Versailles - Parc des Expositions,71045,N.D.
RATP,614,,,,61870,PORTE DE VERSAILLES (PARC DES EXPOSITIONS),N.D.,TRAM-TRAIN,50146021,PORTE DE VERSAILLES (PARC DES EXPOSITIONS),TRAM,25633,Porte de Versailles,tram,473705,Porte de Versailles - Parc des Expositions,71045,N.D.
RATP,629,,,,69665,PORTE D'ASNIERES - MARGUERITE LONG,N.D.,TRAM-TRAIN,50147251,PORTE D'ASNIERES - MARGUERITE LONG,TRAM,462430,Porte d'Asnières - Marguerite Long,tram,45496,Porte d'Asnières - Marguerite Long,71505,N.D.
RATP,629,,,,69667,PORTE D'ASNIERES - MARGUERITE LONG,N.D.,TRAM-TRAIN,50148915,PORTE D'ASNIERES - MARGUERITE LONG,TRAM,462440,Porte d'Asnières - Marguerite Long,tram,45496,Porte d'Asnières - Marguerite Long,71505,N.D.
RATP,63,,,,1957,Gare du Nord,N.D.,METRO,50026298,Gare du Nord,METRO,22149,Gare du Nord,metro,462941,Gare du Nord,71410,N.D.
RATP,63,,,,1958,Gare du Nord,N.D.,METRO,50026301,Gare du Nord,METRO,22007,Gare du Nord,metro,462941,Gare du Nord,71410,N.D.
RATP,63,,,,2212,Gare du Nord,N.D.,METRO,50026644,Gare du Nord,METRO,463183,Gare du Nord,metro,462941,Gare du Nord,71410,N.D.
RATP,63,,,,2213,Gare du Nord,N.D.,METRO,50026990,Gare du Nord,METRO,463182,Gare du Nord,metro,462941,Gare du Nord,71410,N.D.
RATP,633,,,,60614,Gilbert Bonnemaison,N.D.,TRAM-TRAIN,50145848,GILBERT BONNEMAISON,TRAM,42111,Gilbert Bonnemaison,tram,59249,Gilbert Bonnemaison,72381,N.D.
RATP,633,,,,60618,Gilbert Bonnemaison,N.D.,TRAM-TRAIN,50145852,GILBERT BONNEMAISON,TRAM,42113,Gilbert Bonnemaison,tram,59249,Gilbert Bonnemaison,72381,N.D.
RATP,659,,,,2037,Abbesses,N.D.,METRO,50026424,Abbesses,METRO,22059,Abbesses,metro,42155,Abbesses,71432,N.D.
RATP,659,,,,2156,Abbesses,N.D.,METRO,50026945,Abbesses,METRO,463116,Abbesses,metro,42155,Abbesses,71432,N.D.
RATP,660,,,,2046,Anvers,N.D.,METRO,50026445,Anvers,METRO,22123,Anvers,metro,42210,Anvers,71419,N.D.
