8700147,"B"
8711127,"C"
8711300,"P"
8711320,"E"
8711321,"E"
8711340,"E"
8711347,"E"
8711351,"E"
8711352,"E"
8711369,"E"
8711370,"E"
8711371,"E"
8711374,"E"
8711377,"E"
8711379,"E"
8711380,"E"
8711587,"P"
8711601,"E"
8711601,"P"
8711602,"E"
8711603,"E"
8711604,"E"
8711607,"P"
8711608,"P"
8711609,"P"
8711610,"P"
8711611,"E"
8711611,"P"
8711613,"P"
8711616,"P"
8711617,"P"
8711621,"E"
8711621,"P"
8711622,"P"
8711624,"P"
8711626,"P"
8711627,"P"
8711628,"P"
8711629,"P"
8711630,"P"
8711631,"P"
8711632,"P"
8711634,"P"
8711635,"P"
8711636,"P"
8711637,"P"
8711640,"P"
8711649,"P"
8711650,"P"
8711651,"P"
8711655,"P"
8711656,"P"
8711657,"P"
8711658,"P"
8711661,"P"
8711663,"P"
8711664,"P"
8711666,"P"
8711667,"P"
8711673,"P"
8711674,"P"
8711677,"P"
8716478,"D"
8716479,"B"
8727101,"D"
8727101,"H"
8727102,"B"
8727102,"D"
8727103,"H"
8727103,"K"
8727112,"H"
8727114,"C"
8727116,"D"
8727117,"H"
8727120,"C"
8727124,"C"
8727130,"B"
8727139,"B"
8727140,"B"
8727141,"B"
8727141,"K"
8727142,"B"
8727143,"B"
8727144,"B"
8727145,"B"
8727146,"B"
8727147,"B"
8727148,"B"
8727151,"B"
8727152,"B"
8727152,"K"
8727153,"K"
8727155,"K"
8727157,"K"
8727158,"K"
8727159,"K"
8727202,"H"
8727203,"H"
8727204,"K"
8727205,"K"
8727214,"C"
8727600,"D"
8727600,"H"
8727602,"H"
8727603,"H"
8727605,"C"
8727605,"H"
8727605,"J"
8727606,"C"
8727606,"H"
8727607,"C"
8727607,"H"
8727608,"C"
8727608,"H"
8727609,"C"
8727609,"H"
8727610,"C"
8727610,"H"
8727611,"D"
8727613,"C"
8727613,"H"
8727613,"J"
8727614,"H"
8727615,"H"
8727616,"H"
8727617,"C"
8727618,"J"
8727619,"D"
8727622,"D"
8727623,"D"
8727624,"D"
8727625,"D"
8727626,"D"
8727627,"D"
8727628,"D"
8727634,"H"
8727636,"H"
8727638,"H"
8727639,"H"
8727640,"H"
8727641,"H"
8727643,"H"
8727644,"H"
8727645,"H"
8727646,"H"
8727648,"H"
8727649,"H"
8727650,"H"
8727651,"H"
8727652,"H"
8727653,"H"
8727654,"H"
8727655,"H"
8727656,"H"
8727657,"H"
8727658,"H"
8727659,"H"
8727660,"H"
8727662,"H"
8727663,"H"
8727664,"H"
8727665,"H"
8727666,"H"
8727667,"H"
8727675,"H"
8728187,"E"
8728189,"E"
8732832,"C"
8733448,"A"
8733448,"L"
8733798,"C"
8733798,"H"
8736692,"L"
8738101,"C"
8738102,"C"
8738103,"C"
8738104,"C"
8738107,"J"
8738108,"J"
8738109,"J"
8738111,"L"
8738112,"L"
8738113,"J"
8738113,"L"
8738114,"J"
8738115,"J"
8738116,"J"
8738117,"J"
8738118,"J"
8738119,"J"
8738120,"J"
8738121,"J"
8738122,"J"
8738123,"J"
8738124,"J"
8738141,"J"
8738142,"J"
8738145,"A"
8738145,"J"
8738145,"L"
8738147,"J"
8738148,"J"
8738149,"J"
8738150,"J"
8738150,"N"
8738155,"J"
8738156,"J"
8738157,"J"
8738158,"J"
8738159,"J"
8738162,"TER"
8738165,"A"
8738165,"L"
8738171,"N"
8738172,"N"
8738173,"N"
8738179,"J"
8738180,"J"
8738181,"J"
8738182,"J"
8738183,"J"
8738184,"J"
8738186,"J"
8738187,"J"
8738188,"J"
8738189,"J"
8738190,"A"
8738190,"L"
8738200,"L"
8738220,"L"
8738221,"L"
8738221,"U"
8738225,"L"
8738226,"L"
8738233,"L"
8738233,"U"
8738234,"L"
8738234,"U"
8738235,"L"
8738235,"U"
8738236,"L"
8738237,"L"
8738237,"U"
8738238,"L"
8738238,"U"
8738243,"L"
8738244,"L"
8738245,"L"
8738246,"L"
8738247,"L"
8738248,"L"
8738249,"A"
8738249,"L"
8738265,"A"
8738265,"L"
8738280,"L"
8738281,"L"
8738286,"L"
8738287,"L"
8738288,"L"
8738328,"C"
8738400,"J"
8738400,"L"
8738600,"L"
8738605,"A"
8738605,"J"
8738630,"L"
8738631,"L"
8738640,"A"
8738640,"J"
8738640,"L"
8738641,"A"
8738641,"L"
8738642,"A"
8738642,"L"
8738657,"A"
8738657,"J"
8738664,"J"
8738665,"J"
8738666,"J"
8738668,"J"
8738673,"J"
8738676,"J"
8738676,"N"
8739100,"N"
8739153,"N"
8739156,"N"
8739300,"C"
8739300,"N"
8739300,"U"
8739303,"C"
8739304,"C"
8739305,"C"
8739306,"C"
8739307,"C"
8739308,"C"
8739310,"N"
8739311,"N"
8739312,"N"
8739315,"C"
8739316,"C"
8739317,"C"
8739320,"N"
8739321,"C"
8739321,"N"
8739322,"C"
8739322,"N"
8739322,"U"
8739325,"N"
8739325,"U"
8739327,"N"
8739328,"N"
8739329,"N"
8739330,"C"
8739331,"N"
8739332,"C"
8739334,"TER"
8739336,"N"
8739340,"N"
8739341,"N"
8739342,"N"
8739343,"N"
8739344,"N"
8739345,"N"
8739346,"N"
8739347,"N"
8739348,"N"
8739350,"C"
8739351,"C"
8739353,"C"
8739354,"C"
8739356,"C"
8739357,"C"
8739361,"C"
8739362,"N"
8739363,"C"
8739364,"C"
8739365,"C"
8739383,"N"
8739383,"U"
8739384,"C"
8739384,"N"
8739384,"U"
8739387,"L"
8739388,"N"
8739389,"N"
8739400,"TER"
8739411,"TER"
8739413,"TER"
8739414,"TER"
8739415,"TER"
8741560,"J"
8741588,"J"
8741589,"J"
8749210,"C"
8754017,"C"
8754318,"C"
8754320,"C"
8754513,"C"
8754514,"C"
8754515,"C"
8754516,"C"
8754517,"C"
8754518,"C"
8754519,"C"
8754520,"C"
8754521,"C"
8754522,"C"
8754523,"C"
8754524,"C"
8754524,"D"
8754525,"C"
8754526,"C"
8754527,"C"
8754528,"C"
8754529,"C"
8754530,"C"
8754535,"C"
8754545,"C"
8754546,"C"
8754547,"C"
8754548,"C"
8754549,"C"
8754550,"C"
8754551,"C"
8754552,"C"
8754619,"C"
8754620,"C"
8754622,"C"
8754629,"C"
8754631,"C"
8754702,"C"
8754730,"C"
8754731,"C"
8760880,"D"
8765479,"E"
8768100,"D"
8768115,"D"
8768124,"D"
8768130,"D"
8768131,"D"
8768133,"D"
8768134,"D"
8768135,"D"
8768136,"D"
8768137,"D"
8768138,"D"
8768139,"D"
8768140,"D"
8768141,"D"
8768143,"D"
8768145,"D"
8768147,"D"
8768148,"D"
8768151,"D"
8768160,"D"
8768161,"D"
8768162,"D"
8768163,"D"
8768180,"D"
8768182,"D"
8768185,"D"
8768200,"D"
8768200,"R"
8768210,"D"
8768211,"D"
8768212,"D"
8768213,"D"
8768214,"D"
8768215,"D"
8768216,"D"
8768217,"D"
8768218,"D"
8768220,"R"
8768221,"R"
8768225,"R"
8768227,"R"
8768229,"R"
8768230,"R"
8768240,"R"
8768241,"R"
8768242,"R"
8768243,"R"
8768244,"R"
8768245,"R"
8768246,"R"
8768247,"R"
8768250,"D"
8768251,"D"
8768252,"D"
8768254,"D"
8768300,"R"
8768310,"R"
8768312,"R"
8768313,"R"
8768320,"R"
8768321,"R"
8768322,"R"
8768324,"R"
8768326,"R"
8768400,"R"
8768410,"R"
8768411,"R"
8768412,"R"
8768419,"R"
8768421,"R"
8768423,"R"
8768424,"R"
8768440,"D"
8768441,"D"
8768600,"R"
8768603,"D"
8768603,"R"
8768666,"R"
8773006,"A"
8775498,"A"
8775499,"A"
8775800,"A"
8775801,"A"
8775802,"A"
8775803,"A"
8775804,"A"
